,SPY_BuyHold,A_52W_High_Contrarian,B_Price_SMA200,C_12M_Losers,D_Value_Momentum
2012-02-29,0.043405810366685005,0.06355787359848282,0.04077866916872734,0.03289111452122355,0.02883478786726079
2012-03-31,0.03216373852104715,-0.022942878179761796,0.009052284199709316,-0.029075551510265463,0.010297466640822029
2012-04-30,-0.006676031907202784,-0.03356838794498973,0.00039131372187775073,-0.04630220030282976,-0.000496280915610936
2012-05-31,-0.060055405121354544,-0.09102857870955672,-0.08275373238401322,-0.08549196873664548,-0.11853422599994642
2012-06-30,0.0405809171235636,0.06773313800694096,0.03053730785630233,0.07921801263324639,0.033423366504173435
2012-07-31,0.011829885835054288,-0.04994001960066206,-0.02396153181445948,0.028722979371599178,-0.0998136852965917
2012-08-31,0.025052302809607907,-0.0030405647180854036,0.10182063696586115,0.004477940638897349,0.02041660484918175
2012-09-30,0.025351155402167258,0.05287090235305427,0.0658963417767862,0.061181614940831096,0.040242050093911574
2012-10-31,-0.018198239583448905,-0.09856912526099189,-0.032779003282640495,-0.14259958163633252,0.019820322039468152
2012-11-30,0.005659970508972378,0.03113201448616738,0.05598265737934009,-0.004414353036496332,0.017022329093643585
2012-12-31,0.008934275439618444,0.024439717973620857,0.003400480073128831,0.024439717973620857,0.026956634968705817
2013-01-31,0.05119038911521523,0.001124289133671641,0.01751498675389882,0.04138949192877002,0.020180775734367475
2013-02-28,0.012758469882426127,0.001962585801789607,0.012650838844460877,-0.011286839370445324,-0.04048754214432502
2013-03-31,0.03797116492885655,0.013172076013453892,-0.0008144423871442985,0.02619617489082269,0.015203720655394149
2013-04-30,0.019212749943858798,-0.012077847055676183,-0.04441038907823287,0.013606381095032339,0.032634474752809076
2013-05-31,0.02360910073784317,0.049180752725771895,-0.028517974073708752,0.049180752725771895,0.09845976713845003
2013-06-30,-0.01334397980166746,-0.08363635093140982,-0.10975402597138273,-0.04822850526367286,-0.002822959557533711
2013-07-31,0.051676789896772934,0.03428042766662147,0.07324554285313875,0.1291755259965495,0.056407241888350154
2013-08-31,-0.029992689635302994,0.06532695624134903,0.06075640504812354,0.06532695624134903,0.03345551634074586
2013-09-30,0.031646409984876334,0.0505223835391291,0.0019100175194052716,0.007927186804181873,0.05136937010993374
2013-10-31,0.0463067393212202,0.018898630844980092,0.0024831467574804255,0.05961728140097113,0.032754321653379014
2013-11-30,0.029637857972812043,-0.01218247996073516,-0.03555312124068231,-0.03555312124068231,0.026281059631917757
2013-12-31,0.025926465141608235,0.04753490851622031,0.0058877292451681605,0.010865431483254607,0.047416834679006904
2014-01-31,-0.03524841891628161,0.011622273408048467,0.0026335641451395997,0.03951422976919192,-0.04834246111142275
2014-02-28,0.045516034492511404,0.06313187897836825,0.07089166431973441,0.05924987464677809,0.058211477671136214
2014-03-31,0.008295190768470295,-0.005500230503271575,0.03159786459667222,-0.01740594725081144,0.007092546028846703
2014-04-30,0.006952002329867701,-0.020426248145338045,-0.02077072239668687,-0.003910318086430986,0.008212164246792653
2014-05-31,0.023206365516401872,0.01862762400399729,0.026985143453060734,0.019334434825538805,0.011997405759774126
