,SPY_BuyHold,A_Covered_Call_2pct,B_Cash_Secured_Put_3pct,C_VIX_Timed_Calls
2012-01-31,0.046374129591924884,,,
2012-02-29,0.043405810366685005,0.03114654986755368,0.01114654986755368,0.043405810366685005
2012-03-31,0.03216373852104715,0.03056743373544511,0.010567433735445109,0.03216373852104715
2012-04-30,-0.006676031907202784,0.0022113918685526517,0.008887423775755436,-0.006676031907202784
2012-05-31,-0.060055405121354544,-0.05022190096884341,-0.02022190096884341,-0.060055405121354544
2012-06-30,0.0405809171235636,0.033795574922469644,0.013795574922469642,0.033795574922469644
2012-07-31,0.011829885835054288,0.02162325341001211,0.009793367574957822,0.011829885835054288
2012-08-31,0.025052302809607907,0.030854124824985608,0.010854124824985607,0.025052302809607907
2012-09-30,0.025351155402167258,0.0300169862748347,0.0100169862748347,0.025351155402167258
2012-10-31,-0.018198239583448905,-0.00917893816897837,0.009019301414470535,-0.018198239583448905
2012-11-30,0.005659970508972378,0.016324879258606845,0.010664908749634468,0.005659970508972378
2012-12-31,0.008934275439618444,0.018033850556015467,0.009099575116397023,0.008934275439618444
2013-01-31,0.05119038911521523,0.030332347129513076,0.010332347129513078,0.05119038911521523
2013-02-28,0.012758469882426127,0.020946367246593187,0.00818789736416706,0.012758469882426127
2013-03-31,0.03797116492885655,0.028893157728783012,0.008893157728783012,0.03797116492885655
2013-04-30,0.019212749943858798,0.026494703508823474,0.0072819535649646765,0.019212749943858798
2013-05-31,0.02360910073784317,0.0277521273236486,0.007752127323648598,0.02360910073784317
2013-06-30,-0.01334397980166746,-0.003997850720103113,0.009346129081564347,-0.01334397980166746
2013-07-31,0.051676789896772934,0.029667223889270303,0.009667223889270302,0.051676789896772934
2013-08-31,-0.029992689635302994,-0.02228069943602757,0.007711990199275424,-0.029992689635302994
2013-09-30,0.031646409984876334,0.029753230997404508,0.009753230997404508,0.031646409984876334
2013-10-31,0.0463067393212202,0.029518144391472476,0.009518144391472475,0.0463067393212202
2013-11-30,0.029637857972812043,0.027884004962363693,0.007884004962363694,0.029637857972812043
2013-12-31,0.025926465141608235,0.027855335744045674,0.007855335744045674,0.025926465141608235
2014-01-31,-0.03524841891628161,-0.027381615266180784,0.0026183847338192134,-0.03524841891628161
2014-02-28,0.045516034492511404,0.030555965829389957,0.010555965829389958,0.045516034492511404
2014-03-31,0.008295190768470295,0.016322541275604237,0.008027350507133943,0.008295190768470295
