entry_date,exit_date,entry_price,exit_price,trade_return,hold_days,exit_reason,strategy,symbol
2012-04-10,2012-04-25,106.609375,109.19027709960938,0.024208960043236027,11,sma20,BB_Reversion_SellSMA,SPY
2012-05-14,2012-05-18,105.20516967773438,101.77706146240234,-0.03258497872141697,4,stop,BB_Reversion_SellSMA,SPY
2012-06-01,2012-06-07,100.53758239746094,103.58915710449219,0.030352576959402855,4,sma20,BB_Reversion_SellSMA,SPY
2012-10-23,2012-11-14,112.10973358154297,107.75759887695312,-0.03882031082898185,14,stop,BB_Reversion_SellSMA,SPY
2013-06-05,2013-06-18,129.3250732421875,132.90965270996094,0.027717590857734065,9,sma20,BB_Reversion_SellSMA,SPY
2013-06-20,2013-07-05,127.8255386352539,131.42018127441406,0.028121474609368535,10,sma20,BB_Reversion_SellSMA,SPY
2013-08-15,2013-09-06,134.12889099121094,133.85476684570312,-0.002043736763064574,15,sma20,BB_Reversion_SellSMA,SPY
2013-10-08,2013-10-10,134.05361938476562,137.0428466796875,0.022298743656760767,2,sma20,BB_Reversion_SellSMA,SPY
2014-01-24,2014-02-11,145.70364379882812,148.22047424316406,0.017273627335023356,12,sma20,BB_Reversion_SellSMA,SPY
2014-04-11,2014-04-16,148.4901123046875,152.26962280273438,0.025452943898996327,3,sma20,BB_Reversion_SellSMA,SPY
2014-07-31,2014-08-14,158.72042846679688,160.91517639160156,0.013827759577046628,10,sma20,BB_Reversion_SellSMA,SPY
2014-09-25,2014-10-13,162.1463165283203,154.7715301513672,-0.045482293615131564,12,stop,BB_Reversion_SellSMA,SPY
2014-10-14,2014-10-21,155.01104736328125,160.27163696289062,0.033936868946383925,5,sma20,BB_Reversion_SellSMA,SPY
2014-12-12,2014-12-18,165.90391540527344,170.76817321777344,0.029319728835919934,4,sma20,BB_Reversion_SellSMA,SPY
2015-03-10,2015-03-18,170.21588134765625,174.76651000976562,0.02673445407138586,6,sma20,BB_Reversion_SellSMA,SPY
2015-06-08,2015-06-11,173.8951416015625,176.52256774902344,0.015109255631080343,3,sma20,BB_Reversion_SellSMA,SPY
2015-06-29,2015-07-13,172.17616271972656,175.8222198486328,0.02117631773941553,9,sma20,BB_Reversion_SellSMA,SPY
2015-08-20,2015-08-21,170.96084594726562,165.8145294189453,-0.03010231085255477,1,stop,BB_Reversion_SellSMA,SPY
2015-08-24,2015-09-15,158.8325653076172,166.3425750732422,0.04728255664120318,15,sma20,BB_Reversion_SellSMA,SPY
2015-09-28,2015-10-02,158.40296936035156,164.29222106933594,0.037178922420241234,4,sma20,BB_Reversion_SellSMA,SPY
2015-12-11,2015-12-16,170.0887908935547,175.2703094482422,0.030463609785610135,3,sma20,BB_Reversion_SellSMA,SPY
2015-12-18,2015-12-23,169.524658203125,174.60984802246094,0.029996756066264174,3,sma20,BB_Reversion_SellSMA,SPY
2016-01-07,2016-01-15,164.46484375,159.17617797851562,-0.03215681631950218,6,stop,BB_Reversion_SellSMA,SPY
2016-06-24,2016-06-30,174.04254150390625,179.38609313964844,0.03070256036006147,4,sma20,BB_Reversion_SellSMA,SPY
2016-09-09,2016-09-21,182.6402130126953,185.74884033203125,0.017020497666194956,8,sma20,BB_Reversion_SellSMA,SPY
2016-11-01,2016-11-07,181.6090545654297,183.45086669921875,0.010141631639437376,4,sma20,BB_Reversion_SellSMA,SPY
2017-03-21,2017-03-30,203.22938537597656,205.45530700683594,0.010952754823035926,7,sma20,BB_Reversion_SellSMA,SPY
2017-04-13,2017-04-20,202.16859436035156,204.6292724609375,0.012171416180497108,4,sma20,BB_Reversion_SellSMA,SPY
2017-07-06,2017-07-12,210.17938232421875,213.20254516601562,0.014383726930614849,4,sma20,BB_Reversion_SellSMA,SPY
2017-08-10,2017-08-16,212.984130859375,215.76266479492188,0.013045732207069616,4,sma20,BB_Reversion_SellSMA,SPY
2017-08-17,2017-08-30,212.39866638183594,214.9500274658203,0.012012133256042778,9,sma20,BB_Reversion_SellSMA,SPY
2018-02-05,2018-02-23,232.93655395507812,242.4506378173828,0.04084409982359172,13,sma20,BB_Reversion_SellSMA,SPY
2018-03-22,2018-04-12,233.63916015625,235.6417236328125,0.008571180769624709,14,sma20,BB_Reversion_SellSMA,SPY
2018-06-27,2018-07-06,239.74392700195312,245.1467742919922,0.022535908865775056,6,sma20,BB_Reversion_SellSMA,SPY
2018-10-10,2018-10-24,248.8314666748047,237.22593688964844,-0.04664012128467421,10,stop,BB_Reversion_SellSMA,SPY
2018-12-17,2018-12-20,228.32054138183594,220.997802734375,-0.03207218502173492,3,stop,BB_Reversion_SellSMA,SPY
2018-12-21,2019-01-07,216.46963500976562,228.7725372314453,0.05683430944540868,9,sma20,BB_Reversion_SellSMA,SPY
