date,Mom 3M Top3,Mom 3M Top5,Mom 3M Top10,Mom 6M Top3,Mom 6M Top5,Mom 6M Top10,Mom 12M Top3,Mom 12M Top5,Mom 12M Top10,SPY Buy & Hold
2012-02-29,0.09465116583501039,0.06757957741000553,0.05385018135230994,0.057015076058734494,0.05084466054448857,0.044094817540016026,0.043230007529341884,0.056049593380136084,0.03738073738342888,0.043405810366685005
2012-03-31,0.07808116619255379,0.0685853380335558,0.036333748251518604,0.09393444705516316,0.07809730655112142,0.052737841865137136,0.058520206889203154,0.0477564014431084,0.038920340825395236,0.03216373852104715
2012-04-30,-0.07449344530528228,-0.06788338873248073,-0.03941213150333622,-0.07354283916895335,-0.05698295633487935,-0.0336710934439893,-0.04859117395797634,-0.04252977182311526,-0.027253589166590708,-0.006676031907202784
2012-05-31,-0.0746447871052994,-0.07365342408138133,-0.0850391446328542,-0.07379338209498931,-0.06336910071073307,-0.07341132269456106,-0.0016162350519329787,-0.03926115936821528,-0.059849428751515825,-0.060055405121354544
2012-06-30,0.02152983510755435,0.04115702864983208,0.03572416141534394,0.050682746916553834,0.050000679163170816,0.042320014438759525,0.01401091817598473,0.031184272704690038,0.03299539433241753,0.0405809171235636
2012-07-31,0.06680359130018351,0.04983565714577387,0.03086643756851337,0.02714556122353673,0.023671358579537883,0.0025917493238990954,0.031019638718209046,0.014476567884362914,0.014697312955447206,0.011829885835054288
2012-08-31,-0.05876892784338232,-0.03715761828850561,0.002644894788602393,0.056371273958479996,0.029430099587288795,0.025616860850284032,0.0212228570488426,0.01769209636619784,0.016097384520978954,0.025052302809607907
2012-09-30,-0.034441843002012064,-0.000592521447169235,0.009868960001914884,0.02676233671203406,0.03925891933996942,0.02790364786930695,0.023536975847414952,0.0370509086113016,0.017155542121294064,0.025351155402167258
2012-10-31,-0.09265090185170255,-0.07041376441447621,-0.05348916572724538,-0.0559543354806703,-0.055073740182140195,-0.04048662163857245,-0.10353631215954617,-0.06301018952467037,-0.0477551976714826,-0.018198239583448905
2012-11-30,0.007093113000659957,0.02836944796330978,0.018404508340009406,-0.014923696267609919,-0.0059866047683003075,0.005864349611534392,0.010670180531275776,0.005690341408964783,0.00761173707798376,0.005659970508972378
2012-12-31,-0.0033703523514118086,0.0012056872249038187,0.0040955885726101544,-0.0069839405267020736,-0.015130683196810789,0.009198210437626187,-0.021304355010521376,-0.00482068894439931,-0.012518196074143761,0.008934275439618444
2013-01-31,0.09815762640481482,0.07105354755434246,0.05489001522657518,0.03214096491392415,0.041793600840096534,0.0418425513078602,-0.0020325017045439795,0.02400625591191827,0.029679410634171347,0.05119038911521523
2013-02-28,-0.07871853009396275,-0.05196429281123194,-0.01911349220454904,-0.061249853863784086,-0.06680993927204738,-0.023750478108363737,-0.00661912604305396,-0.00870771720798944,0.0026949794730983033,0.012758469882426127
